Thread   Start(us)  B/E     Dur(us)  Name/Detail
------  ----------  ---  ----------  ------------------------------
   259      942564  BEG        1326  AnnotateKernels
   259      943890  END        1326  AnnotateKernels
   259      943890  BEG         264  VerifyKernels
   259      944154  END         264  VerifyKernels
   259      944154  BEG        2293  LowerSemanticCF
   259      946448  END        2293  LowerSemanticCF
   259      946452  BEG       32079  CheckLifetimes
   259      947393  BEG           9  (A) SymbolTableAnalysis
   259      947402  END           9  (A) SymbolTableAnalysis
   259      978532  END       32079  CheckLifetimes
   259     1597666  BEG        1061  AnnotateKernels
   259     1598728  END        1061  AnnotateKernels
   259     1598728  BEG         256  VerifyKernels
   259     1598985  END         256  VerifyKernels
   259     1598985  BEG        1880  LowerSemanticCF
   259     1600866  END        1880  LowerSemanticCF
   259     1600866  BEG       23222  CheckLifetimes
   259     1601655  BEG           6  (A) SymbolTableAnalysis
   259     1601661  END           6  (A) SymbolTableAnalysis
   259     1624089  END       23222  CheckLifetimes
   259     2349965  BEG        1316  AnnotateKernels
   259     2351281  END        1316  AnnotateKernels
   259     2351281  BEG         254  VerifyKernels
   259     2351535  END         254  VerifyKernels
   259     2351535  BEG        2330  LowerSemanticCF
   259     2353865  END        2330  LowerSemanticCF
   259     2353867  BEG       26599  CheckLifetimes
   259     2354877  BEG           6  (A) SymbolTableAnalysis
   259     2354884  END           6  (A) SymbolTableAnalysis
   259     2380466  END       26599  CheckLifetimes
   259     3701917  BEG        1500  AnnotateKernels
   259     3703417  END        1500  AnnotateKernels
   259     3703418  BEG         304  VerifyKernels
   259     3703722  END         304  VerifyKernels
   259     3703722  BEG        2425  LowerSemanticCF
   259     3706148  END        2425  LowerSemanticCF
   259     3706149  BEG       30048  CheckLifetimes
   259     3707266  BEG           6  (A) SymbolTableAnalysis
   259     3707273  END           6  (A) SymbolTableAnalysis
   259     3736197  END       30048  CheckLifetimes
   259     4383514  BEG        1247  AnnotateKernels
   259     4384762  END        1247  AnnotateKernels
   259     4384763  BEG         257  VerifyKernels
   259     4385020  END         257  VerifyKernels
   259     4385020  BEG        2283  LowerSemanticCF
   259     4387304  END        2283  LowerSemanticCF
   259     4387304  BEG       24503  CheckLifetimes
   259     4388311  BEG           6  (A) SymbolTableAnalysis
   259     4388318  END           6  (A) SymbolTableAnalysis
   259     4411808  END       24503  CheckLifetimes
